gene	gene_id	chromosome	start_position	end_position	oe_lof	oe_lof_lower	oe_lof_upper	oe_lof_upper_bin	p_cnv	p_dnw	p_mupit	min_p	p_comb	p_comb_adj_ihw	p_comb_fdr
RPRD2	ENSG00000163125	1	150335567	150449042	0	0	0.064	0	1	1	1	1	1	1	1
KMT2A	ENSG00000118058	11	118307205	118397539	0.031118	0.015	0.065	0	1	1e-14	4.13784820280764e-08	1e-14	3.32361913019167e-13	1.8641143306829e-09	1.27607032884579e-09
CREBBP	ENSG00000005339	16	3775055	3930727	0.025349	0.011	0.066	0	0.00069993	1	0.00164296892442864	0.00164296892442864	1.68766081769105e-05	0.0946556326810072	0.00925657849063288
SF3B1	ENSG00000115524	2	198254508	198299815	0.013864	0.004	0.066	0	0.114089	1	0.0326395483929794	0.0326395483929794	0.0245511281227735	1	0.398737738217329
EIF3B	ENSG00000106263	7	2393721	2420380	0	0	0.067	0	0.0367963	1	1	1	0.15831085502559	1	1
PPFIA1	ENSG00000131626	11	70116806	70230509	0.01413	0.004	0.067	0	0.118188	1	1	1	0.370575956832753	1	1
ZSWIM6	ENSG00000130449	5	60628100	60841997	0	0	0.067	0	0.344966	1	1	1	0.712116562528295	1	1
PRPF3	ENSG00000117360	1	150293925	150325671	0	0	0.068	0	1	1	1	1	1	1	1
KAT6A	ENSG00000083168	8	41786997	41909508	0.021841	0.008	0.069	0	1	1	1.63774312952021e-05	1.63774312952021e-05	0.000196850276560684	1	0.0404938477137244
KMT2B	ENSG00000272333	19	36208921	36229779	0.026915	0.011	0.07	0	1	0.0121204893818305	1	0.0121204893818305	0.0656064869582594	1	0.769735870491773
SIN3A	ENSG00000169375	15	75661720	75748183	0.014832	0.004	0.07	0	1	1	1	1	1	1	1
CHD2	ENSG00000173575	15	93426526	93571237	0.027031	0.011	0.07	0	1	1	1	1	1	1	1
ARID1A	ENSG00000117713	1	27022524	27108595	0.022463	0.008	0.071	0	1	1	1	1	1	1	1
GLTSCR1L	ENSG00000112624	6	42749765	42836298	0	0	0.071	0	0.115988	1	1	1	0.365857299591824	1	1
SCN1A	ENSG00000144285	2	166845670	166984523	0.022602	0.008	0.071	0	0.343666	1	1	1	0.710730507685937	1	1
MED12	ENSG00000184634	X	70338406	70362303	0.022555	0.008	0.071	0	1	0.118308010337542	0.0315802390147507	0.0315802390147507	0.14069702936182	1	1
TJP1	ENSG00000104067	15	29991571	30261068	0.022625	0.008	0.071	0	1	1	1	1	1	1	1
SPEN	ENSG00000065526	1	16174359	16266955	0.03101	0.014	0.071	0	1	1	0.0751361713036751	0.0751361713036751	0.269622633922476	1	1
WDFY3	ENSG00000163625	4	85590704	85887544	0.03799	0.021	0.071	0	0.574843	1	1	1	0.893109609037993	1	1
HDAC6	ENSG00000094631	X	48659784	48683392	0	0	0.072	0	1	1	1	1	1	1	1
EHMT1	ENSG00000181090	9	140513444	140764468	0.015126	0.004	0.072	0	9.999e-05	1	0.0310596269565709	0.0310596269565709	4.24924228761598e-05	0.248066063912192	0.0177331965642096
JMJD1C	ENSG00000171988	10	64926981	65225722	0.027844	0.012	0.072	0	1	1	1	1	1	1	1
MAP3K12	ENSG00000139625	12	53874274	53893847	0	0	0.072	0	1	1	1	1	1	1	1
GGNBP2	ENSG00000005955	17	34900737	34946278	0	0	0.073	0	0.0194981	1	1	1	0.0962706648214299	1	0.895835168481333
CASK	ENSG00000147044	X	41374187	41782716	0	0	0.073	0	1	1	0.015278832378706	0.015278832378706	0.0791640142523025	1	0.787823525972759
TLE3	ENSG00000140332	15	70340129	70390515	0	0	0.073	0	0.120388	1	1	1	0.375253660004353	1	1
CHD6	ENSG00000124177	20	40030741	40247133	0.031735	0.015	0.073	0	0.334667	1	1	1	0.700999947695979	1	1
UBR5	ENSG00000104517	8	103265240	103425069	0.037137	0.019	0.073	0	0.347365	1	1	1	0.714661518397803	1	1
EIF4G1	ENSG00000114867	3	184032283	184053146	0.023611	0.009	0.074	0	0.116988	1	1	1	0.368007269678037	1	1
NBEA	ENSG00000172915	13	35516424	36247159	0.035174	0.017	0.074	0	0.450355	1	1	1	0.809611793539184	1	1
SMARCA5	ENSG00000153147	4	144434616	144478639	0.01569	0.005	0.074	0	0.338366	1	1	1	0.705028577168786	1	1
TSC2	ENSG00000103197	16	2097466	2138716	0.023406	0.009	0.074	0	0.111189	1	1	1	0.355418287346869	1	1
SUPT5H	ENSG00000196235	19	39926796	39967310	0.015513	0.005	0.074	0	1	1	1	1	1	1	1
GREB1L	ENSG00000141449	18	18822203	19105378	0.023739	0.009	0.075	0	1	1	1	1	1	1	1
PTCH1	ENSG00000185920	9	98205262	98279339	0.015809	0.005	0.075	0	0.117488	1	1	1	0.369079044668124	1	1
CHD7	ENSG00000171316	8	61591337	61779465	0.036285	0.018	0.076	0	0.00679932	1	2.83892494319494e-26	2.83892494319494e-26	1.2511029224445e-26	8.04823212313893e-23	2.40174228021671e-22
RAD54L2	ENSG00000164080	3	51575160	51702683	0.016026	0.005	0.076	0	1	1	1	1	1	1	1
CNOT3	ENSG00000088038	19	54641444	54659419	0	0	0.076	0	1	1	1	1	1	1	1
AHDC1	ENSG00000126705	1	27860546	27930942	0	0	0.076	0	0.0416958	1	0.0282437706036557	0.0282437706036557	0.00911997472352896	1	0.203140055142112
U2SURP	ENSG00000163714	3	142683339	142779567	0.016335	0.005	0.077	0	0.0353965	1	0.0222724211997065	0.0222724211997065	0.00642167144404584	1	0.15725458494985
RBM25	ENSG00000119707	14	73525144	73588122	0.016196	0.005	0.077	0	1	1	1	1	1	1	1
GIGYF2	ENSG00000204120	2	233562009	233725285	0.02997	0.013	0.077	0	0.336966	1	1	1	0.70350859891319	1	1
MBTD1	ENSG00000011258	17	49254786	49337524	0	0	0.077	0	1	1	1	1	1	1	1
DCAF5	ENSG00000139990	14	69517598	69619867	0	0	0.078	0	1	1	1	1	1	1	1
SUV420H1	ENSG00000110066	11	67922330	67981295	0	0	0.078	0	0.344266	1	1	1	0.711370835240229	1	1
RABGAP1	ENSG00000011454	9	125703112	125867145	0.016372	0.005	0.078	0	1	1	1	1	1	1	1
KHSRP	ENSG00000088247	19	6413359	6424805	0	0	0.078	0	1	1	1	1	1	1	1
TM9SF2	ENSG00000125304	13	100153671	100216260	0	0	0.079	0	0.109489	1	1	1	0.351671134214394	1	1
MATR3	ENSG00000015479	5	138609441	138667360	0	0	0.079	0	1	1	1	1	1	1	1
PHF21A	ENSG00000135365	11	45950871	46142985	0	0	0.08	0	0.336966	1	1	1	0.70350859891319	1	1
NAV1	ENSG00000134369	1	201592411	201796102	0.025417	0.009	0.08	0	0.339966	1	1	1	0.706758603637913	1	1
HIVEP2	ENSG00000010818	6	143072604	143266338	0.025372	0.009	0.08	0	0.112289	1	1	1	0.357829040221456	1	1
OGT	ENSG00000147162	X	70752933	70795747	0	0	0.08	0	1	1	1	1	1	1	1
RBBP6	ENSG00000122257	16	24549014	24584184	0.025497	0.009	0.08	0	0.344566	1	1	1	0.711690606764682	1	1
GTPBP4	ENSG00000107937	10	1034338	1065876	0	0	0.08	0	0.349165	1	0.0170569292434836	0.0170569292434836	0.0364690836607947	1	0.495118103986051
MYBL1	ENSG00000185697	8	67474410	67526482	0	0	0.08	0	1	1	1	1	1	1	1
TEX11	ENSG00000120498	X	69748790	70128581	0	0	0.08	0	1	1	1	1	1	1	1
DYNC1H1	ENSG00000197102	14	102430865	102517129	0.048236	0.029	0.08	0	1	1	1	1	1	1	1
SBNO1	ENSG00000139697	12	123773656	123849390	0.025601	0.009	0.081	0	1	1	1	1	1	1	1
THOC2	ENSG00000125676	X	122734412	122866906	0.016971	0.005	0.081	0	1	1	1	1	1	1	1
PRKCB	ENSG00000166501	16	23847322	24231932	0	0	0.081	0	0.222478	1	1	1	0.556846206158546	1	1
INO80	ENSG00000128908	15	41271078	41408552	0.031343	0.013	0.081	0	1	1	1	1	1	1	1
TAF4	ENSG00000130699	20	60528525	60640866	0	0	0.081	0	0.338766	1	1	1	0.705461791683167	1	1
FLNA	ENSG00000196924	X	153576892	153603006	0.02614	0.01	0.082	0	1	1	1	1	1	1	1
TRIM28	ENSG00000130726	19	59055458	59062089	0	0	0.082	0	1	1	1	1	1	1	1
CHD8	ENSG00000100888	14	21853353	21924285	0.038764	0.019	0.082	0	1	1	1	1	1	1	1
RBM33	ENSG00000184863	7	155437145	155574179	0.017334	0.005	0.082	0	0.339566	1	1	1	0.70632680436137	1	1
SNRNP200	ENSG00000144028	2	96940074	96971297	0.035815	0.017	0.082	0	1	1	1	1	1	1	1
XPO6	ENSG00000169180	16	28109300	28223241	0.017294	0.005	0.082	0	0.116488	1	1	1	0.36693335771013	1	1
SMARCAD1	ENSG00000163104	4	95128762	95212443	0.017414	0.005	0.083	0	0.120188	1	1	1	0.374830086698996	1	1
FRMPD4	ENSG00000169933	X	12156585	12742642	0	0	0.083	0	1	1	1	1	1	1	1
MACF1	ENSG00000127603	1	39546988	39952849	0.056465	0.038	0.084	0	1	1	1	1	1	1	1
WAC	ENSG00000095787	10	28821422	28912041	0	0	0.084	0	0.00039996	1	0.000131280418919278	0.000131280418919278	9.32644699585757e-07	0.0054446765798476	0.00133230752267656
BRWD3	ENSG00000165288	X	79926353	80065187	0.026535	0.01	0.084	0	1	1	1	1	1	1	1
C17orf104	ENSG00000180336	17	42733762	42767676	0	0	0.084	0	1	1	1	1	1	1	1
ATP2B1	ENSG00000070961	12	89981828	90103077	0.017765	0.005	0.084	0	0.125487	1	1	1	0.385941933294397	1	1
EIF4G2	ENSG00000110321	11	10818597	10830657	0.017981	0.005	0.085	0	1	1	1	1	1	1	1
ZNF462	ENSG00000148143	9	109625378	109775915	0.032888	0.014	0.085	0	0.0386961	1	1	1	0.16453645410756	1	1
WDR26	ENSG00000162923	1	224572845	224624735	0	0	0.085	0	1	1	1	1	1	1	1
CUL4B	ENSG00000158290	X	119658464	119709649	0	0	0.085	0	1	1	1	1	1	1	1
TRIM33	ENSG00000197323	1	114935399	115053781	0.018203	0.005	0.086	0	1	1	1	1	1	1	1
STXBP1	ENSG00000136854	9	130374544	130457460	0	0	0.086	0	1	1	1	1	1	1	1
TOPBP1	ENSG00000163781	3	133317019	133380737	0.027431	0.01	0.086	0	0.337166	1	1	1	0.703726094220545	1	1
NF2	ENSG00000186575	22	29999545	30094587	0	0	0.086	0	0.0079992	1	1	1	0.0466226472074272	1	0.592725138040384
TET3	ENSG00000187605	2	74229840	74335303	0.018143	0.005	0.086	0	1	1	1	1	1	1	1
MN1	ENSG00000169184	22	28144265	28197486	0	0	0.087	0	0.0485951	1	1	1	0.195557984463888	1	1
SUPT6H	ENSG00000109111	17	26989109	27029697	0.037832	0.018	0.087	0	1	1	1	1	1	1	1
RP11-762I7.5	ENSG00000257390	12	56151059	56221330	0	0	0.087	0	1	1	1	1	1	1	1
NHS	ENSG00000188158	X	17393543	17754114	0	0	0.087	0	1	1	1	1	1	1	1
RPS6KA3	ENSG00000177189	X	20168029	20285523	0	0	0.087	0	1	1	1	1	1	1	1
MYT1L	ENSG00000186487	2	1792885	2335032	0.018386	0.006	0.087	0	0.00889911	1	1	1	0.0509189632589085	1	0.632356529831892
UBP1	ENSG00000153560	3	33429828	33482863	0	0	0.088	0	0.336266	1	1	1	0.702746430062128	1	1
PLCL2	ENSG00000154822	3	16844159	17132086	0	0	0.088	0	0.332267	1	1	1	0.6983642352304	1	1
SPTBN1	ENSG00000115306	2	54683422	54896812	0.041887	0.021	0.088	0	0.115188	1	0.0525621060967369	0.0525621060967369	0.036974671794419	1	0.500566131479169
MYH9	ENSG00000100345	22	36677327	36784063	0.038313	0.018	0.088	0	1	0.177991962410327	1	0.177991962410327	0.485209094872815	1	1
ZDHHC5	ENSG00000156599	11	57435219	57468659	0	0	0.088	0	0.348565	1	1	1	0.715928303047228	1	1
LUC7L3	ENSG00000108848	17	48796905	48833574	0	0	0.089	0	1	1	1	1	1	1	1
COPB2	ENSG00000184432	3	139074442	139108574	0.018746	0.006	0.089	0	0.0353965	1	0.0222576870779704	0.0222576870779704	0.00641794460832993	1	0.15725458494985
DNAJC14	ENSG00000135392	12	56214744	56224608	0	0	0.089	0	1	1	1	1	1	1	1
RNF17	ENSG00000132972	13	25338290	25454059	0.03429	0.015	0.089	0	0.342466	1	1	1	0.709446708157581	1	1
ANK3	ENSG00000151150	10	61786056	62493248	0.049308	0.028	0.089	0	1	1	0.00355923916107317	0.00355923916107317	0.0236269715662892	1	0.387995699878575
F8	ENSG00000185010	X	154064063	154255215	0.028416	0.011	0.089	0	1	1	1	1	1	1	1
TM9SF3	ENSG00000077147	10	98277866	98347209	0	0	0.09	0	0.118588	1	1	1	0.371429472188223	1	1
DLG3	ENSG00000082458	X	69664711	69725337	0	0	0.09	0	1	1	1	1	1	1	1
MGA	ENSG00000174197	15	41913422	42062141	0.042833	0.021	0.09	0	1	0.264689295058391	1	0.264689295058391	0.61651393875552	1	1
ANKRD52	ENSG00000139645	12	56631591	56652175	0.018933	0.006	0.09	0	1	1	1	1	1	1	1
STAG2	ENSG00000101972	X	123094062	123556514	0.018923	0.006	0.09	0	1	1	1	1	1	1	1
SATB2	ENSG00000119042	2	200134223	200335989	0	0	0.091	0	0.114089	1	1	1	0.361750712512723	1	1
USP34	ENSG00000115464	2	61414598	61697904	0.054952	0.034	0.091	0	0.0408959	1	1	1	0.171628864962782	1	1
MAP3K2	ENSG00000169967	2	128056306	128146041	0	0	0.091	0	1	1	1	1	1	1	1
PREX1	ENSG00000124126	20	47240790	47444420	0.035185	0.015	0.091	0	0.337866	1	1	1	0.704486393999672	1	1
MED14	ENSG00000180182	X	40507558	40595110	0.01933	0.006	0.092	0	1	1	1	1	1	1	1
CYFIP2	ENSG00000055163	5	156693089	156822606	0.029307	0.011	0.092	0	1	1	1	1	1	1	1
ZNF407	ENSG00000215421	18	72265106	72777627	0.029252	0.011	0.092	0	1	1	0.0391460223242503	0.0391460223242503	0.165997003350742	1	1
KPNB1	ENSG00000108424	17	45726842	45762871	0.019307	0.006	0.092	0	1	0.129337338799838	1	0.129337338799838	0.393875040726025	1	1
ETV5	ENSG00000244405	3	185764097	185828107	0	0	0.092	0	1	1	1	1	1	1	1
CUL2	ENSG00000108094	10	35297479	35379570	0.019602	0.006	0.093	0	0.117688	1	1	1	0.36950715835014	1	1
HNRNPM	ENSG00000099783	19	8509651	8553998	0	0	0.093	0	1	1	1	1	1	1	1
PIAS1	ENSG00000033800	15	68346517	68483096	0	0	0.094	0	0.341966	1	1	1	0.70891055153194	1	1
DAAM2	ENSG00000146122	6	39760142	39872648	0.019827	0.006	0.094	0	0.339766	1	1	1	0.706542762863687	1	1
EFTUD2	ENSG00000108883	17	42927311	42977030	0.019846	0.006	0.094	0	0.329267	1	1	1	0.695045201710701	1	1
YTHDC1	ENSG00000083896	4	69176105	69215807	0.019789	0.006	0.094	0	1	1	1	1	1	1	1
NCBP1	ENSG00000136937	9	100395908	100436030	0.019877	0.006	0.094	0	1	1	1	1	1	1	1
TCF20	ENSG00000100207	22	42556019	42739622	0.030129	0.011	0.095	0	0.0379962	1	1	1	0.162253999699059	1	1
DLL1	ENSG00000198719	6	170591294	170599561	0	0	0.095	0	0.00019998	1	1	1	0.00190326829341939	1	0.0635596919528657
UBR4	ENSG00000127481	1	19401000	19536770	0.062772	0.042	0.095	0	0.0340966	1	0.109831980428238	0.109831980428238	0.0246689896478111	1	0.399975164078572
STAT3	ENSG00000168610	17	40465342	40540586	0.019945	0.006	0.095	0	1	1	1	1	1	1	1
IGF2BP3	ENSG00000136231	7	23349828	23510086	0	0	0.095	0	0.340866	1	1	1	0.707728432091907	1	1
NSD1	ENSG00000165671	5	176560026	176727216	0.045197	0.023	0.095	0	0.563244	1e-14	4.6880088080677e-13	1e-14	1.90434112442736e-13	2.14021155230471e-09	1.21858788552107e-09
SRCAP	ENSG00000080603	16	30709530	30755602	0.048453	0.026	0.096	0	0.565143	1	1	1	0.887656819357575	1	1
ZNF777	ENSG00000196453	7	149128454	149158214	0	0	0.096	0	1	1	1	1	1	1	1
HNRNPK	ENSG00000165119	9	86582998	86595569	0	0	0.096	0	0.339966	1	8.20164721952414e-05	8.20164721952414e-05	0.000320303805950103	1	0.0404938477137244
SCAF8	ENSG00000213079	6	155054459	155155192	0.030519	0.011	0.096	0	0.0382962	1	1	1	0.163233899212096	1	1
ARID2	ENSG00000189079	12	46123448	46301823	0.037297	0.016	0.096	0	1	1	1	1	1	1	1
CCT3	ENSG00000163468	1	156278759	156337664	0	0	0.097	0	1	1	1	1	1	1	1
COL5A2	ENSG00000204262	2	189896622	190044605	0.042311	0.02	0.097	0	1	1	1	1	1	1	1
PHC3	ENSG00000173889	3	169804520	169899537	0.02036	0.006	0.097	0	1	1	1	1	1	1	1
GATAD2B	ENSG00000143614	1	153777201	153895451	0	0	0.097	0	1	1	0.0147744260116826	0.0147744260116826	0.0770465272564673	1	0.77235623171927
FBXO11	ENSG00000138081	2	48016455	48132932	0.02046	0.006	0.097	0	1	1	1	1	1	1	1
NOTCH1	ENSG00000148400	9	139388896	139440314	0.046153	0.023	0.097	0	1	1e-14	2.08930952542852e-05	1e-14	3.32361913019167e-13	2.13805417354655e-09	1.27607032884579e-09
COL3A1	ENSG00000168542	2	189839046	189877472	0.042706	0.02	0.098	0	1	1	1	1	1	1	1
PPP3CB	ENSG00000107758	10	75196186	75255782	0	0	0.098	0	1	1	1	1	1	1	1
ILF3	ENSG00000129351	19	10764937	10803093	0.02065	0.006	0.098	0	0.117388	1	1	1	0.36886486019068	1	1
PLEKHA5	ENSG00000052126	12	19282648	19529334	0.037955	0.016	0.098	0	0.343466	1	1	1	0.710516832473906	1	1
ZNF521	ENSG00000198795	18	22641890	22932154	0.020618	0.006	0.098	0	0.115788	1	0.02617508975621	0.02617508975621	0.0206059685455277	1	0.344876005377938
TAB2	ENSG00000055208	6	149539777	149732749	0	0	0.098	0	9.999e-05	1	3.45536935423615e-09	3.45536935423615e-09	1.02592706270529e-11	5.7541049828837e-08	3.28245363712558e-08
CTNND2	ENSG00000169862	5	10971952	11904155	0.031044	0.012	0.098	0	1	1	1	1	1	1	1
DDX5	ENSG00000108654	17	62495734	62504317	0	0	0.098	0	0.00449955	1	1	1	0.0288141187923786	1	0.425495875736378
ACTN4	ENSG00000130402	19	39138289	39222223	0.02077	0.006	0.099	0	1	1	1	1	1	1	1
UPF2	ENSG00000151461	10	11962021	12085169	0.031537	0.012	0.099	0	1	1	0.029901595763888	0.029901595763888	0.134851515201686	1	1
CARM1	ENSG00000142453	19	10982189	11033453	0	0	0.099	0	0.275672	1	1	1	0.630887370837783	1	1
PAXIP1	ENSG00000157212	7	154735397	154794794	0.03149	0.012	0.099	0	1	1	1	1	1	1	1
BPTF	ENSG00000171634	17	65821640	65980494	0.052698	0.029	0.099	0	0.115088	1	1	1	0.363914957097446	1	1
EP300	ENSG00000100393	22	41487790	41576081	0.049966	0.026	0.099	0	1	1	0.00166981195526728	0.00166981195526728	0.0123483333159635	1	0.241332775668477
FBXL19	ENSG00000099364	16	30934376	30960104	0	0	0.1	0	0.567043	1	1	1	0.888737914365702	1	1
CREBRF	ENSG00000164463	5	172483355	172566291	0	0	0.1	0	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
HDAC2	ENSG00000196591	6	114254192	114332472	0	0	0.1	0	0.115788	1	1	1	0.365426273352698	1	1
SP1	ENSG00000185591	12	53773960	53810230	0	0	0.1	0	1	1	1	1	1	1	1
MAPK8IP2	ENSG00000008735	22	51039114	51052409	0	0	0.1	0	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
AP2A1	ENSG00000196961	19	50270225	50310370	0.021266	0.007	0.101	0	0.344366	1	1	1	0.711477454784442	1	1
ARCN1	ENSG00000095139	11	118443105	118473748	0	0	0.101	0	1	1	0.0147054155244796	0.0147054155244796	0.0767554964588897	1	0.770489303643545
SPTAN1	ENSG00000197694	9	131314866	131395941	0.055885	0.032	0.101	0	1	1	1	1	1	1	1
RPTOR	ENSG00000141564	17	78518619	78940171	0.039042	0.017	0.101	0	1	1	1	1	1	1	1
CAND1	ENSG00000111530	12	67663061	67713731	0.021234	0.007	0.101	0	1	1	1	1	1	1	1
COPS2	ENSG00000166200	15	49398268	49447858	0	0	0.101	0	0.345965	1	1	1	0.713178362509919	1	1
SALL4	ENSG00000101115	20	50400581	50419059	0	0	0.101	0	0.336766	1	1	1	0.703290984899489	1	1
CACNA1C	ENSG00000151067	12	2079952	2802108	0.048672	0.024	0.102	0	1	1	1	1	1	1	1
ARID1B	ENSG00000049618	6	157099063	157531913	0.044396	0.021	0.102	0	0.0130987	1	1.48496920737336e-05	1.48496920737336e-05	3.20025635346469e-06	0.0186827425545407	0.00307176606087308
PSMD2	ENSG00000175166	3	184016497	184026842	0.021599	0.007	0.102	0	0.116988	1	1	1	0.368007269678037	1	1
PSMD3	ENSG00000108344	17	38137050	38154213	0	0	0.102	0	0.339266	1	1	1	0.706002645716021	1	1
KMT2D	ENSG00000167548	12	49412758	49453557	0.066852	0.044	0.103	0	1	1e-14	1.31563221608038e-25	1.31563221608038e-25	7.6688609724037e-24	4.93330901229061e-20	7.36095620436169e-20
UBAP2L	ENSG00000143569	1	154192655	154243986	0.03259	0.012	0.103	0	1	1	1	1	1	1	1
ZNF148	ENSG00000163848	3	124944405	125094198	0	0	0.103	0	1	1	1	1	1	1	1
BTK	ENSG00000010671	X	100604435	100641183	0	0	0.103	0	1	1	1	1	1	1	1
RRM1	ENSG00000167325	11	4115937	4160106	0.021629	0.007	0.103	0	1	1	1	1	1	1	1
PPP2R5E	ENSG00000154001	14	63838075	64010092	0	0	0.103	0	1	1	1	1	1	1	1
RFX3	ENSG00000080298	9	3218297	3526004	0.021827	0.007	0.104	0	1	1	1	1	1	1	1
BIRC6	ENSG00000115760	2	32582096	32843966	0.066571	0.043	0.104	0	1	1	1	1	1	1	1
LMNB2	ENSG00000176619	19	2427636	2456994	0	0	0.104	0	1	1	1	1	1	1	1
CLTC	ENSG00000141367	17	57697219	57773671	0.045332	0.021	0.104	0	1	1	1	1	1	1	1
